ID;Art. Nr.;Serie;Artikel;Unsere Preis;Original Preis;Kurzbeschreibung;Beschreibung;Jahrgang;Herkunft;Region;Traubensorte;Farbe;Trinktemperatur;Past gut zu;Alkohol;Raritäten;Inhalt;Charakter
;F3030;9;COMTESSE DE BEAUVALLON SÉLECTION SPÉCIALE;18,5;22,5;COMTESSE DE BEAUVALLON SÉLECTION SPÉCIALE;;2006;Frankreich;Bordeaux;Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot;Rotwein;;Braten, Geflügel, kräftigem Käse;12,5%;ja;0.75 cl;
;F3031;9;DUCHESSE DE MAUZAC SÉLECTION SÉCIALE ST. JULIEN;18,5;22,5;DUCHESSE DE MAUZAC SÉLECTION SÉCIALE ST. JULIEN;;2004;Frankreich;Bordeaux;Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot;Rotwein;;Grillfleisch, kräftigem Käse;12,5%;ja;0,75 cl;
;F3032;9;MARQUIS DE PLAISANCE PAUILLAC;18,5;22,5;MARQUIS DE PLAISANCE PAUILLAC;;2004;Frankreich;Bordeaux;Aligote, Cabernet Franc, Cabernet Sauvignon, Merlot, Petit;Rotwein;;Geflügel, Kalbfleisch, mildem Käse, Rindfleisch;12%;ja;0,75 cl;
;F3033;10;FLEUR DU VENT VDP DE L'HERAULT ROSÉ;5,5;;FLEUR DU VENT VDP DE L'HERAULT ROSÉ;;2011;Frankreich;Languedoc-Roussillon;Carignan, Grecanico;Rosé;;Aperitif, Vorspeise & Salat;12%;;0,75 cl;
;F3034;9;FLEUR DU VENT ROUGE VDP DE L'HERAULT;5,5;;FLEUR DU VENT ROUGE VDP DE L'HERAULT;;2011;Frankreich;Languedoc-Roussillon;Carignan, Cinsault;Rotwein;;Aperitif, Fischgerichte, mildem Käse;12,5%;;0.75 cl;
;F3035;8;FLEUR DU VENT VDP DE L'HERAULT BLANC;5,5;;FLEUR DU VENT VDP DE L'HERAULT BLANC;;2011;Frankreich;Languedoc-Roussillon;Carignan, Cinsault, Grenache, Sauvignon Blanc;Weisswein;;Aperitif, Fischgerichte, Weisses Fleisch;11,8%;;0.75 cl;
;F3036;9;DOMAINE MONCABREL ST. CHINIAN;5,5;;DOMAINE MONCABREL ST. CHINIAN;;2006;Frankreich;Saint Cinian;Carignan, Cinsault;Rotwein;;;13%;;0.75 cl;
;F3037;9;CHÂTEAU MOULIN GUILLOMAT AOC;5,5;;CHÂTEAU MOULIN GUILLOMAT AOC;;2009;Frankreich;Bordeaux;Cabernet Sauvignon, Merlot;Rotwein;;Braten, Fischgerichte, kräftigem Käse, Weisses Fleisch, Wildfleisch;12,5%;;0.75 cl;
;F3038;9;CHÂTEAU SALVANHIAC ST. CHINIAN AOC;5,5;;CHÂTEAU SALVANHIAC ST. CHINIAN AOC;;2010;Frankreich;;Cabernet, Carignan, Shiraz / Syrah;Rotwein;;Braten,Grillfleisch, kräftigem Käse, Rindfleisch, Rotes Fleisch, Wildfleisch;13%;;0.75 cl;
;F3039;10;PAYS DE L'HERAULT IGP LES CHARMES BELLEVUE MOELLEUX ROSÉ;5,5;;PAYS DE L'HERAULT IGP LES CHARMES BELLEVUE MOELLEUX ROSÉ;;2010;Frankreich;Languedoc-Roussillon;Carignan, Cinsault, Grenache Blanc, Sauvignon Blanc;Rosé;;Aperitif, Fischgerichte, Weisses Fleisch;11,5%;;0.75 cl;
;F3040;9;PAYS DE L'HERAULT IGP LES CHARMES BELLEVUE MOELLEUX ROUGE;5,5;;PAYS DE L'HERAULT IGP LES CHARMES BELLEVUE MOELLEUX ROUGE;;2010;Frankreich;Languedoc-Roussillon;Carignan, Cinsault, Grenache Blanc, Sauvignon Blanc;Rotwein;;Braten, Grillfleisch, kräftigem Käse, Rindfleisch, Weisses Fleisch, Wildfleisch;11,5%;;0.75 cl;
;F3041;8;PAYS DE L'HERAULT IGP LES CHARMES BELLEVUE MOELLEUX BLANC;5,5;;PAYS DE L'HERAULT IGP LES CHARMES BELLEVUE MOELLEUX BLANC;;2010;Frankreich;Languedoc-Roussillon;Carignan, Cinsault, Grenache Blanc, Sauvignon Blanc;Rotwein;;;12,7%;;0.75 cl;
;F3042;9;CHÂTEAU ST. CHINIAN AOC VILLESPASSANS 10;7,5;;CHÂTEAU ST. CHINIAN AOC VILLESPASSANS 10;;2010;Frankreich;Saint Chinian;Carignan;Rotwein;;kräftigem Käse, Rotes Fleisch, Wildfleisch;13%;;0.75 cl;
;F3043;9;BORDEAUX AOC MARQUIS DE BRUN GRAN VIN DE BORDEAUX;5,5;;BORDEAUX AOC MARQUIS DE BRUN GRAN VIN DE BORDEAUX;;;Frankreich;Bordeaux, Rioja;Cabernet Franc, Cabernet Sauvignon, Merlot;Rotwein;;kräftigem Käse, Rindfleisch, Wildfleisch;13%;;0.75 cl;
;F3044;11;CHAMPAGNE LOUIS CHALVON GRANDE RESERVE BRUT;22,5;29,5;CHAMPAGNE LOUIS CHALVON GRANDE RESERVE BRUT;;;Frankreich;Vaudois;Chardonnay, Pinot Noir;Schaumwein;;Aperitif;12%;ja;0.75 cl;
;USA40;77;CABERNET SAUVIGNON CRESTVIEW PARK;5,5;;CABERNET SAUVIGNON CRESTVIEW PARK;;2010;USA;Kalifornien;Cabernet Sauvignon;Rotwein;;Braten, Grillfleisch, Pasta;13%;;0.75 cl;
;USA41;79;CHARDONNAY CRESTVIEW PARK;5,5;;CHARDONNAY CRESTVIEW PARK;;2010;USA;Kalifornien;Chardonnay;Weisswein;;Fischgerichte, Vorspeise & Salat;13%;;0.75 cl;
;USA42;77;MERLOT CRESTVIEW PARK;5,5;;MERLOT CRESTViEW PARK;;2009;USA;Kalifornien;Merlot;Rotwein;;Barbeque;13%;;0.75 cl;
;USA43;78;ZINFANDEL CRESTVIEW PARK ROSÉ;5,5;;ZINFANDEL CRESTVIEW PARK ROSÉ;;2010;USA;Kalifornien;Zinfandel;Rosé;;Desserts, Geflügel, Pasta, Weisses Fleisch;10,5%;;0.75 cl;
;USA44;77;ZINFANDEL CRESTVIEW PARK;5,5;;ZINFANDEL CRESTVIEW PARK;;2010;USA;Kalifornien;Zinfandel;Rotwein;;Braten, Grillfleisch, Pasta, kräftigem Käse;13,5%;;0.75 cl;
;USA45;77;CABERNET SAUVIGNON SUNSET CANYON;5,5;;CABERNET SAUVIGNON SUNSET CANYON;;2010;USA;Kalifornien;Cabernet;Rotwein;;Braten, mildem Käse, Pasta;12,5%;;0.75 cl;
;USA46;79;CHARDONNAY SUNSET CANYON;5,5;;CHARDONNAY SUNSET CANYON;;2010;USA;Kalifornien;Chardonnay;Weisswein;;Kalbfleisch, Rindfleisch, Schweinefleisch, Vorspeise & Salat;13%;;0.75 cl;
;USA47;77;MERLOT SUNSET CANYON;5,5;;MERLOT SUNSET CANYON;;2010;USA;Kalifornien;Merlot;Rotwein;;Braten, Kalbfleisch, Pasta, Rindfleisch, Schweinefleisch;12,5%;;0.75 cl;
;USA48;77;ZINFANDEL SUNSET CANYON;5,5;;ZINFANDEL SUNSET CANYON;;2009;USA;Kalifornien;Zinfandel;Rotwein;;Braten, Grillfleisch, kräftigem Käse, Pasta;13,5%;;0.75 cl;
;USA49;78;ZINFANDEL ROSÉ SUNSET CANYON;5,5;;ZINFANDEL ROSÉ SUNSET CANYON;;2011;USA;Kalifornien;Zinfandel;Rosé;;Desserts, Geflügel, Pasta;11%;;0.75 cl;
;USA50;77;ESSER MERLOT;7,5;15,5;ESSER MERLOT;;2006;USA;Kalifornien;Merlot;Rotwein;;Weisses Fleisch;13,9%;;0.75 cl;
;USA51;77;ESSER ZINFANDEL;7,5;15,5;ESSER ZINFANDEL;;2005;USA;Kalifornien;Zinfandel;Rotwein;;Geflügel, Grillfleisch, Rotes Fleisch;13%;;0.75 cl;
;USA52;77;"ZINFANDEL ROBERT MONDAVI ""TWIN OAKS""";10,5;15,8;"ZINFANDEL ROBERT MONDAVI ""TWIN OAKS""";;2005;USA;Kalifornien;Zinfandel;Rotwein;;Kalbfleisch, Wildfleisch;13,5%;ja;0.75 cl;
;CHI01;81;CABERNET SAUVIGNON RESERVA DON ENRIQUE;7,5;;CABERNET SAUVIGNON RESERVA DON ENRIQUE;;2009;Chile;Valle Central;Cabernet Sauvignon;Rotwein;;Barbeque;13,5%;;0.75 cl;
;CHI02;81;CABERNET SAUVIGNON D.O. VALLE DE COLCHAGUA;10,5;14,9;CABERNET SAUVIGNON D.O. VALLE DE COLCHAGUA;;2009;Chile;;Cabernet Sauvignon;Rotwein;;Wildfleisch;13%;ja;0.75 cl;
;CHI03;81;CABERNET SAUVIGNON LEON CAVALLO;5,5;;CABERNET SAUVIGNON LEON CAVALLO;;2010;Chile;Valle Central;Cabernet Sauvignon;Rotwein;;Braten, Grillfleisch, kräftigem Käse;13%;;0.75 cl;
;CHI04;82;CABERNET SAUVIGNON ROSÉ LEON CAVALLO;5,5;;CABERNET SAUVIGNON ROSÉ LEON CAVALLO;;2009;Chile;Valle Central;Cabernet Sauvignon;Rosé;;Aperitif, Fischgerichte, Meeresfrüchte;12,5%;;0.75 cl;
;CHI05;81;MERLOT LEON CAVALLO;5,5;;MERLOT LEON CAVALLO;;2010;Chile;Valle Central;Merlot;Rotwein;;mildem Käse, Pasta, Rotes Fleisch;14%;;0.75 cl;
;CHI06;83;SAUVIGNON BLANC LEON CAVALLO;5,5;;SAUVIGNON BLANC LEON CAVALLO;;2010;Chile;Valle Central;Sauvignon Blanc;Weisswein;;Fischgerichte, Vorspeise & Salat;13,5%;;0.75 cl;
;SA010;87;CHENIN BLANC AFRICAN SUN;5,5;;CHENIN BLANC AFRICAN SUN;;2010;Südafrika;;Chenin Blanc;Weisswein;;Fischgerichte, Weisses Fleisch;13%;;0.75 cl;
;SA011;85;PINOTAGE AFRICAN SUN;5,5;;PINOTAGE AFRICAN SUN;;2010;Südafrika;;Pinotage;Rotwein;;kräftigem Käse, Pasta, Rotes Fleisch;12,5%;;0.75 cl;
;P4040;89;ESPORAO RESERVA TINTO DOC;20,5;24,5;ESPORAO RESERVA TINTO DOC;;2009;Portugal;Alentejo;Aragonez, Cabernet Sauvignon, Trincadeira;Rotwein;;Braten, Grillfleisch, Kalbfleisch, kräftigem Käse, Rindfleisch, Rotes Fleisch, Steak;14,5%;ja;0.75 cl;
;P4041;89;ESPORAO RESERVA BRANCO DOC;15,5;17,8;ESPORAO RESERVA BRANCO DOC;;2011;Portugal;Alentejo;Ant?o Vaz, Arinto, Roupeiro;Rotwein;;Aperitif, Fischgerichte, Gemüse, Raclette, Spargel, Weisses Fleisch;14,5%;ja;0.75 cl;
;P4042;89;CABERNET SAUVIGNON & TOURIGA NACIONAL FIUZA PREMIUM;10,5;19,2;CABERNET SAUVIGNON & TOURIGA NACIONAL FIUZA PREMIUM;;2010;Portugal;Ribatejo;Cabernet Sauvignon, Touriga;Rotwein;;kräftigem Käse, Rotes Fleisch, Wildfleisch;14%;ja;0.75 cl;
;P4044;89;SYRAH CABERNET SAUVIGNON & TOURIGA NACIONAL FIUZA 3 CASTAS;5,5;11,9;SYRAH CABERNET SAUVIGNON & TOURIGA NACIONAL FIUZA 3 CASTAS;;2010;Portugal;Ribatejo;Cabernet Sauvignon, Shiraz / Syrah, Touriga;;;Fischgerichte, Käseplatte, Pasta;13%;;0.75 cl;
;P4045;91;CHARDONNAY & FERNAO PIRES FIUZA PREMIUM;10,5;18,3;CHARDONNAY & FERNAO PIRES FIUZA PREMIUM;;2010;Portugal;Ribatejo;Chardonnay, Fernao Pires;Weisswein;;Grillfleisch, Meeresfrüchte, Weisses Fleisch;13,5%;ja;0.75 cl;
;O5050;95;BRUENDY CHARDONNAY RIED HOLZWEG;5,5;7,5;BRUENDY CHARDONNAY RIED HOLZWEG;;2008;Österreich;;Chardonnay;Weisswein;;Aperitif, Fischgerichte, Gemüse, Raclette, Spargel, Vorspeise & Salat;12%;;0.75 cl;
;O5051;93;BLAUER ZWEIGELT TROCKEN;7,5;13,95;BLAUER ZWEIGELT TROCKEN;;2011;Österreich;Niederösterreich;Blauer Zweigelt;Rotwein;;Braten, kräftigem Käse, Rindfleisch, Wildfleisch;13%;;0.75 cl;
;O5052;93;BLAUER ZWEIGELT DEIBLHOF PREMIUM SELECTION;7,5;13,5;BLAUER ZWEIGELT DEIBLHOF PREMIUM SELECTION;;2011;Österreich;Kamptal;Blauer Zweigelt;Rotwein;;Braten, kräftigem Käse, Rindfleisch, Wildfleisch;13%;;0.75 cl;
;O5053;95;GRÜNER VELTLINER TROCKEN;7,5;13,45;GRÜNER VELTLINER TROCKEN;;2011;Österreich;Niederösterreich;Grüner Veltliner;Weisswein;;Fischgerichte, Schweinefleisch;12,5%;;0.75 cl;
;O5054;95;GRÜNER VELTLINER DEIBLHOF GRAND SELECTION;5,5;;GRÜNER VELTLINER DEIBLHOF GRAND SELECTION;;2011;Österreich;Kamptal;Grüner Veltliner;Weisswein;;Antipasti, Aperitif, Fischgerischte, Geflügel, Gemüsse, Spargel, Vegetarisches;12,5%;;0.75 cl;
;O5055;95;WEISSGIPFLER DEIBLHOF QUALITÄTWEIN;6,5;11,9;WEISSGIPFLER DEIBLHOF QUALITÄTWEIN;;2011;Österreich;Kamptal;Grüner Veltliner, Weissburgunder;Weisswein;;Antipasti, Aperitif, Pasta, Pizza, Risotto & Pilz;;;0.75 cl;
;O5056;93;CUVÉE RITZENTHAL GRAND BRUE;10,5;;CUVÉE RITZENTHAL GRAND BRUE;;2006;Österreich;;Rathay, Roesler;Rotwein;;Braten, Kalbfleisch, Rindfleisch, Rotes Fleisch, Wildfleisch;14,5%;ja;0.75 cl;
;A6060;97;KAIKEN MALBEC;10,5;14,9;KAIKEN MALBEC;;2010;Argentinien;Mendoza;Cabernet Sauvignon, Malbec;Rotwein;;Braten, Pasta;14,5%;ja;0.75 cl;
;AS001;72;SHIRAZ CABERNET AUSTRALIAN BUSH;5,5;;SHIRAZ CABERNET AUSTRALIAN BUSH;;2011;Australien;South Eastern Australien;Cabernet, Shiraz / Syrah;Rotwein;;Braten, kräftigem Käse, Wildfleisch;12,5%;;0.75 cl;
;AS002;71;COLOMBARD CHARDONNAY AUSTRALIAN BUSH;5,5;;COLOMBARD CHARDONNAY AUSTRALIAN BUSH;;2010;Australien;South Eastern Australien;Chardonnay, Colombard;Weisswein;;Fischgerichte, Meeresfrüchte, Weisses Fleisch;12,5%;;0.75 cl;
;AS003;72;MERLOT AUSTRALIAN BUSH;5,5;;MERLOT AUSTRALIAN BUSH;;2009;Australien;South Eastern Australien;Merlot;Rotwein;;mildem Käse, Rotes Fleisch;13%;;0.75 cl;
;AS004;70;PETIT VERDOT AUSTRALIAN BUSH ROSÉ;5,5;;PETIT VERDOT AUSTRALIAN BUSH ROSÉ;;2010;Australien;South Eastern Australien;Petit Verdot;Rosé;;Aperitif, Fischgerichte, Meeresfrüchte;13,5%;;0.75 cl;
;AS005;72;SHIRAZ AUSTRALIAN BUSH;5,5;;SHIRAZ AUSTRALIAN BUSH;;2010;Australien;South Eastern Australien;Shiraz / Syrah;Rotwein;;Braten, kräftigem Käse, Wildfleisch;13,5%;;0.75 cl;
;AS006;71;CHARDONNAY RAIMON'S HILL;5,5;;CHARDONNAY RAIMON'S HILL;;2011;Australien;South Eastern Australien;Chardonnay;Weisswein;;Aperitif, Fischgerichte;13,3%;;0.75 cl;
;AS007;72;SHIRAZ CABERNET SAUVIGNON RAIMON'S HILL;5,5;7,5;SHIRAZ CABERNET SAUVIGNON RAIMON'S HILL;;2010;Australien;South Eastern Australien;Cabernet Sauvignon, Shiraz / Syrah;Rotwein;;kräftigem Käse, Lammfleisch, Rindfleisch, Wildfleisch;13,5%;;0.75 cl;
;AS008;72;SHIRAZ CABERNET AUSTRALIAN PASSION;3;;SHIRAZ CABERNET AUSTRALIAN PASSION;;2010;Australien;South Eastern Australien;Cabernet Sauvignon, Shiraz / Syrah;Rotwein;;;;;0.25 cl;
;AS009;71;CHARDONNAY COLOMBARD AUSTRALIAN PASSION;3;;CHARDONNAY COLOMBARD AUSTRALIAN PASSION;;2010;Australien;South Eastern Australien;Chardonnay;Weisswein;;Aperitif, Fischgerichte;;;0.25 cl;
;CH1011;103;JOHANNISBERG RAISIN D'OR DOC;10,5;17,5;JOHANNISBERG RAISIN D'OR DOC;;2011;Schweiz;Valais;Silvaner;Weisswein;;Aperitif, Fischgerichte, Meeresfrüchte, Raclette, Spargel;13%;ja;0.70 cl;
;CH1012;103;FENDANT RAISIN D'OR DOC;6,5;10,7;FENDANT RAISIN D'OR DOC;;2011;Schweiz;Valais;Chasselas;Weisswein;;Aperitif, Fischgerichte, Geflügel, mildem Käse, Raclette, Vegetarisches;12%;;0.70 cl;
;CH1013;102;OEIL DE PERDRIX RAISIN D'OR DOC;7,5;13,4;OEIL DE PERDRIX RAISIN D'OR DOC;;2011;Schweiz;Valais;Pinot Noir;Rosé;;Aperitif, Fischgerichte, Geflügel, Gemüse, Meeresfrüchte, Raclette, Risotto & Pilz, Spargel;12,5%;;0.70 cl;
;CH1014;103;FÉCHY AOC RESERVE GRAND VIN;8,5;13,65;FÉCHY AOC RESERVE GRAND VIN;;2011;Schweiz;Vaudois;Chasselas;Weisswein;;Aperitif, Fischgerichte, mildem Käse, Raclette;12%;ja;0.70 cl;
;CH1015;103;MONT-SUR-ROLLE AOC RESERVE GRAND VIN;7,5;12,65;MONT-SUR-ROLLE AOC RESERVE GRAND VIN;;2011;Schweiz;Vaudois;Chasselas;Weisswein;;Grlillfleisch, mildem Käse, ;12%;;0.70 cl;
;CH1019;103;AIGLE CHABLAIS AOC COLLECTION IMAGO;12,5;16,5;AIGLE CHABLAIS AOC COLLECTION IMAGO;;2011;Schweiz;Vaudois;Chasselas;Weisswein;;Aperitif, Fischgerichte, kräftigem Käse, Meeresfrüchte, Vorspeise & Salat, Weisses Fleisch;12,40%;ja;0.70 cl;
;CH1020;103;YVORNE CHABLAIS AOC COLLECTION IMAGO;12,5;18,1;YVORNE CHABLAIS AOC COLLECTION IMAGO;;2011;Schweiz;Vaudois;Chasselas;Weisswein;;Antipasti, Fischgerichte, midem Käse;12,40%;ja;0.70 cl;
;CH1021;103;DÉZALEY LAVAUX AOC GRAND CRU;15,5;21,5;DÉZALEY LAVAUX AOC GRAND CRU;;2011;Schweiz;Vaudois;Chasselas;Weisswein;;Aperitif, Fischgerichte, kräftigem Käse;12,50%;ja;0.70 cl;
;CH1022;103;FÉCHY AOC GUY DE MALIGNY;5,5;;FÉCHY AOC GUY DE MALIGNY;;;Schweiz;Vaudois;Aragonez;Weisswein;;Aperitif, mildem Käse;12%;;0.50 cl;
;CH1023;103;AIGLE CHABLAIS AOC CAVE DE BEAUVOIR SA;7,5;;AIGLE CHABLAIS AOC CAVE DE BEAUVOIR SA;;;Schweiz;Vaudois;;Weisswein;;Aperitif, Grillfleisch;12%;;0.50 cl;
;CH1024;103;EPESSES LAVAUX AOC CAVE DE BEAUVOIR SA, VAUDOIS;6,5;;EPESSES LAVAUX AOC CAVE DE BEAUVOIR SA, VAUDOIS;;;Schweiz;Vaudois;;Weisswein;;Aperitif, Fischgerichte, Geflügel;12,3%;;0.50 cl;
;CH1025;103;YVORNE CHABLAIS AOC CAVE DE BEAUVOIR;6,5;;YVORNE CHABLAIS AOC CAVE DE BEAUVOIR;;;Schweiz;Vaudois;;Weisswein;;Antipasti, Fischgerichte, midem Käse;12,3%;;0.50 cl;
;CH1026;69;CUVÉE CLASSIQUE OSTSCHWEIZER LANDWEIN;5,5;10,5;CUVÉE CLASSIQUE OSTSCHWEIZER LANDWEIN;;;Schweiz;Ostschweiz;Blauburgunder, Dornfelder;Rotwein;;Rotes Fleisch, Wildfleisch;13%;;0.70 cl;
;CH1027;103;RIESLING-SYLVANER CLASSIQUE;4,5;7,5;RIESLING-SYLVANER CLASSIQUE;;2009;Schweiz;;Riesling, Silvaner;Weisswein;;Aperitif;12,5%;;0.70 cl;
;CH1028;103;CUVÉE BLANCHE FLAMBEAU AOC;5,5;8,5;CUVÉE BLANCHE FLAMBEAU AOC;;2009;Schweiz;Chasselas;;Weisswein;;Fischgerichte, Meeresfrüchte, mildem Käse;12,5%;;0.70 cl;
